energy,intensity,residual,fit,pseudovoigt_1,pseudovoigt_2,pseudovoigt_3,gaussian_4,gaussian_5,gaussian_6,atan_7
5444.8503,0.001538607,0.006408207741560957,0.007946814741560957,3.696192440389886e-14,0.000329471066485048,0.0008780332425176227,3.5062710898382087e-199,3.9493436897500776e-97,5.357851752973489e-130,0.006739310432521324
5445.1009,0.0018384047,0.006174265739105387,0.008012670439105387,3.7772117096274406e-14,0.00033642069472135616,0.0008923885718755253,3.395753405610471e-196,7.953296815593462e-96,1.0939012548023444e-128,0.006783861172470734
5445.3489,0.0017104137,0.006368580438249494,0.008078994138249494,3.860040126029779e-14,0.00034351690117820826,0.0009069439240150739,2.9086174576255017e-193,1.52154802009638e-94,2.1319409457742765e-127,0.006828533313017612
5445.5992,0.0018211203,0.00632600674212941,0.00814712704212941,3.9464285832430363e-14,0.00035090895754058787,0.000921997874536953,2.5181579855742987e-190,2.9314394325467873e-93,4.2060819196619675e-126,0.006874220210012405
5445.85,0.0020499052,0.006166728513764874,0.008216633713764875,4.0359296757945344e-14,0.000358557627098925,0.0009374604831410558,2.0971141463033846e-187,5.566023561451631e-92,8.219781790064488e-125,0.006920615603484534
5446.1005,0.0024345136,0.005852816256907992,0.008287329856907992,4.128395904147331e-14,0.00036644943347350153,0.0009532956279319128,1.6442233052531943e-184,1.031785285593648e-90,1.57614753205611e-123,0.006967584795461295
5446.3513,0.00204639,0.006313032283925843,0.008359422283925843,4.224191264079428e-14,0.00037461452331253106,0.0009695545509087378,1.2331948740393608e-181,1.8804033936614104e-89,2.986481874554613e-122,0.007015253209662333
5446.599,0.0021995281,0.006232421864408486,0.008431949964408486,4.322110941571337e-14,0.00038294941895961174,0.0009860236608209517,8.095390148993437e-179,3.2403229562617456e-88,5.3745465457648855e-121,0.007062976884584702
5446.85,0.0020694927,0.006437336110719652,0.008506828810719652,4.424847471870753e-14,0.00039168225352503936,0.0010031433467599653,5.4997387308629296e-176,5.68243728500414e-87,9.8984165254809e-120,0.0071120032103904
5447.1007,0.0021394668,0.00644358520262364,0.00858305200262364,4.531159188923597e-14,0.0004007061539509868,0.001020690871456239,3.518181066858118e-173,9.729476123131954e-86,1.788813043850402e-118,0.007161654977171102
5447.3488,0.0026118533,0.006048085550215489,0.008659938850215489,4.640182986462542e-14,0.0004099468934911178,0.0010385129715610821,1.999016843859897e-170,1.5852203636948537e-84,3.0897508081424457e-117,0.007211478985116888
5447.5997,0.0026087239,0.006130486499830275,0.008739210399830276,4.754485552187398e-14,0.00041962072837097795,0.0010570144499212483,1.158143966741979e-167,2.6115857093312683e-83,5.427062852082148e-116,0.007262575221490504
5447.8503,0.0024609195,0.006359038426391628,0.008819957926391628,4.872916798584927e-14,0.00042962874065416944,0.0010759910053001489,6.319460104117335e-165,4.201131977754345e-82,9.354292365767241e-115,0.00731433818038858
5448.0988,0.0025642725,0.006337355964746424,0.008901628464746424,4.994776485333176e-14,0.00043991051071170064,0.0010953168917789268,3.1062441712148647e-162,6.47049454763275e-81,1.5505175447993618e-113,0.007366401062205849
5448.3498,0.0024221516,0.006563638434029771,0.00898579003402977,5.12255850810543e-14,0.00045067483946830956,0.0011153697676600665,1.5424059929844438e-159,1.0036440197572745e-79,2.603272831476906e-112,0.007419745426850169
5448.6006,0.0025371315,0.0065344837607907,0.0090716152607907,5.2551960526913755e-14,0.0004618299248444953,0.001135960876796459,7.231974255586328e-157,1.5218194150355757e-78,4.294079617912392e-111,0.007473824459097193
5448.8493,0.002645023,0.006513464019769027,0.009158487019769027,5.3918719470269e-14,0.00047330546982593893,0.0011569468921880158,3.058348212415427e-154,2.210368145415456e-77,6.813930107743825e-110,0.007528234657701152
5449.1,0.0029001956,0.006347700723879553,0.009247896323879554,5.5351108742878993e-14,0.0004853114961741942,0.0011786948127137126,1.2888362919152725e-151,3.2140126158741323e-76,1.088674383761343e-108,0.007583890014936296
5449.3511,0.0027025267,0.006636835547815529,0.009339362247815529,5.684372270162186e-14,0.0004978002766443269,0.0012010969051426945,5.2037018478691155e-149,4.597955191552085e-75,1.7202598728336897e-107,0.007640465065971664
5449.5995,0.0031233567,0.006308437946297291,0.00943179464629729,5.838044114498289e-14,0.0005106349577830338,0.001223891348237173,1.87054699391571e-146,6.264300770951583e-74,2.5988379917812406e-106,0.007697268340218703
5449.8505,0.0028600589,0.0066671748586435015,0.009527233758643502,5.999736541558293e-14,0.0005241145997383109,0.0012475887199854803,6.787484941557916e-144,8.593670785957667e-73,3.9775642257099944e-105,0.007755530438859713
5450.0992,0.0032291827,0.0063947092239849505,0.00962389192398495,6.166658566413154e-14,0.0005380038465060039,0.001271753085677423,2.2157541180138237e-141,1.1278849131283163e-71,5.847439807401378e-104,0.007814134991739857
5450.35,0.0032088736,0.0065146794327679974,0.009723553032767998,6.342138636474374e-14,0.0005525767939294275,0.0012968381753034077,7.20955057959372e-139,1.4822539994893107e-70,8.6593565760395455e-103,0.007874138063471741
5450.6012,0.0031056149,0.006720040256161193,0.009825655156161192,6.52550813165956e-14,0.0005677743575955626,0.0013227132638672192,2.246465070652964e-136,1.9161820276798394e-69,1.2680678355301042e-101,0.007935167534633155
5450.8498,0.003613545,0.006315487859591328,0.009929032859591328,6.71491473786615e-14,0.0005834400384887663,0.0013490890642436097,6.263461896541479e-134,2.3640118059919985e-68,1.7787029151197344e-100,0.007996503756791803
5451.1013,0.0035004956,0.006535571356781192,0.010036066956781192,6.915039082209839e-14,0.0005999572116568478,0.001376581959297545,1.7697488144042887e-131,2.942301595319073e-67,2.5335625250988268e-99,0.008059527785757649
